"Date","Open","High","Low","Close","Volume"
"2017-07-07",57.58,58.15,57.2,57.79,39504
"2017-07-06",58.4,58.4,57,57.78,73383
"2017-07-05",57.8,58.6,57.74,58.36,46644
"2017-07-04",59.55,59.74,57.67,57.85,87479
"2017-07-03",60.53,60.98,59.23,59.53,77052
"2017-06-30",59.35,61.31,59.2,61.04,86291
"2017-06-29",59.09,60,59.03,59.61,57785
"2017-06-28",60.25,60.35,58.72,59.06,69858
"2017-06-27",60.02,60.67,59.65,60.4,76490
"2017-06-26",60.03,60.77,59.81,60.72,106987
"2017-06-23",56.58,60.38,56.33,60.31,125112
"2017-06-22",58.21,58.55,56.5,56.67,94991
"2017-06-21",56.2,58.39,56.17,58.24,118244
"2017-06-20",56.64,56.93,55.75,55.99,53914
"2017-06-19",55.1,56.65,55.1,56.63,58208
"2017-06-16",55.25,55.75,54.85,55.01,34542
"2017-06-15",55.4,55.69,54.71,55.47,40932
"2017-06-14",57,57.35,55.13,55.44,59396
"2017-06-13",56.4,57,55.86,56.93,59007
"2017-06-12",56.4,58.08,55.82,56.4,77625
"2017-06-09",56.527,56.617,55.94,56.299,66739
"2017-06-08",55.293,56.687,54.925,56.318,86114
"2017-06-07",54.935,55.522,54.836,55.204,64439
"2017-06-06",54.348,54.826,54.079,54.676,39805
"2017-06-05",53.512,54.338,53.492,54.119,29871
"2017-06-02",54.238,54.238,53.253,53.83,33782
"2017-06-01",53.343,54.318,52.945,54.298,55200
"2017-05-31",54.487,54.617,52.706,53.203,71599
"2017-05-26",54.577,54.836,53.761,53.82,35345
"2017-05-25",54.537,55.084,53.482,54.527,48707
"2017-05-24",56.806,56.806,54.039,54.925,67738
"2017-05-23",55.761,57.224,55.393,56.617,75017
"2017-05-22",54.816,56.099,54.487,55.691,37962
"2017-05-19",54.039,55.035,54.039,54.865,23375
"2017-05-18",54.726,55.313,53.82,54.348,31842
"2017-05-17",56.199,56.408,55.005,55.104,47735
"2017-05-16",55.433,56.328,55.164,56.219,56550
"2017-05-15",55.373,55.92,54.746,55.652,43405
